bsal	sal77	fsex	senior	age	educ	target
5040.0	12420.0	0.0	96.0	329.0	3.0	14.0
6300.0	12060.0	0.0	82.0	357.0	3.0	72.0
6000.0	15120.0	0.0	67.0	315.0	3.0	35.5
6000.0	16320.0009765625	0.0	97.0	354.0	2.0	24.0
6000.0	12300.0	0.0	66.0	351.0	2.0	56.0
6840.0	10380.0	0.0	92.0	374.0	3.0	41.5
8100.0	13979.9990234375	0.0	66.0	369.0	4.0	54.5
6000.0	10140.0	0.0	82.0	363.0	2.0	32.0
6000.0	12360.0	0.0	88.0	555.0	2.0	252.0
6900.0	10920.0	0.0	75.0	416.0	3.0	132.0
6900.0	10920.0	0.0	89.0	481.0	2.0	175.0
5400.0	12660.0009765625	0.0	91.0	331.0	3.0	17.5
6000.0	12960.0	0.0	66.0	355.0	3.0	64.0
6000.0	12360.0	0.0	86.0	348.0	3.0	25.0
5100.0	8940.0	1.0	95.0	640.0	3.0	165.0
4800.0	8580.0	1.0	98.0	774.0	2.0	381.0
5280.0	8760.0	1.0	98.0	557.0	0.0	190.0
5280.0	8040.0	1.0	88.0	745.0	0.0	90.0
4800.0	9000.0	1.0	77.0	505.0	2.0	63.0
4800.0	8820.0	1.0	76.0	482.0	2.0	6.0
5400.0	13320.0	1.0	86.0	329.0	3.0	24.0
5520.0	9600.0	1.0	82.0	558.0	2.0	97.0
5400.0	8940.0	1.0	88.0	338.0	2.0	26.0
5700.0	9000.0	1.0	76.0	667.0	2.0	90.0
3900.0	8760.0	1.0	98.0	327.0	2.0	0.0
4800.0	9780.0	1.0	75.0	619.0	2.0	144.0
6120.0	9360.0	1.0	78.0	624.0	2.0	208.5
5220.0	7860.0	1.0	70.0	671.0	0.0	102.0
5100.0	9660.0	1.0	66.0	554.0	0.0	96.0
4380.0	9600.0	1.0	92.0	305.0	0.0	6.25
4290.0	9180.0009765625	1.0	69.0	280.0	2.0	5.0
5400.0	9540.0	1.0	66.0	534.0	3.0	122.0
4380.0	10380.0	1.0	92.0	305.0	2.0	0.0
5400.0	8640.0	1.0	65.0	603.0	0.0	173.0
5400.0	11880.0	1.0	66.0	302.0	2.0	26.0
4500.0	12540.0009765625	1.0	96.0	366.0	0.0	52.0
5400.0	8400.0	1.0	70.0	628.0	2.0	82.0
5520.0	8880.0	1.0	67.0	694.0	2.0	196.0
5640.0	10080.0	1.0	90.0	368.0	2.0	55.0
