mean_fit_time	mean_score_time	mean_test_score	param_estimator__learning_rate	param_estimator__loss	param_estimator__n_estimators	param_estimator__random_state	params	rank_test_score	split0_test_score	split1_test_score	split2_test_score	std_fit_time	std_score_time	std_test_score
0.030107975006103516	0.0015578269958496094	0.6481430744339717	0.001	linear	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	57	0.7519526532581354	0.5172258340210446	0.6740000182055763	0.0018587678290186605	0.00042061231545308694	0.09763761884629879
0.08469565709431966	0.0032133261362711587	0.6722353548856668	0.001	linear	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	37	0.7750620790941382	0.5542565358399117	0.6861485735276678	0.0003256500093076475	3.934476470765781e-05	0.09076352235702419
0.16923141479492188	0.006053527196248372	0.668686399896812	0.001	linear	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	42	0.7760022680096719	0.5500273466729482	0.678736622741396	0.0004816958528429642	5.823153823299644e-05	0.09261584294430404
0.33815725644429523	0.011733611424763998	0.6655250171318764	0.001	linear	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	46	0.7679378745425824	0.5576462430850653	0.6697570439196596	0.00023264908350237133	0.00011240525077849265	0.08598724225283452
0.01714769999186198	0.0009662310282389323	0.644043375128799	0.001	square	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	58	0.7397378651907802	0.5137660673087778	0.6774732472234415	1.7422872569917186e-05	9.67351535460341e-06	0.0953031466070607
0.08485158284505208	0.003194093704223633	0.6706530622140487	0.001	square	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	39	0.7709000610112025	0.5483134498258184	0.6915378806388944	0.00023991515086421557	2.3238983944876978e-05	0.09214372872189165
0.169450044631958	0.0060236454010009766	0.6677083536465371	0.001	square	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	44	0.7685460495116316	0.5462717682442195	0.6870923311853856	0.00014724118400323482	1.3993092230425577e-05	0.09185437634757114
0.3386860688527425	0.011689106623331705	0.6707515014123049	0.001	square	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'square', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	38	0.7721829906341886	0.5548881174361571	0.6839613300313653	0.00014584441228895185	4.249710390490011e-05	0.08928434317223126
0.01719045639038086	0.0009736220041910807	0.6525383114396739	0.001	exponential	10	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	55	0.7666857990743352	0.5155771721926687	0.6739766921166602	4.030660996231842e-05	8.795315635844499e-06	0.1037223410896305
0.08499519030253093	0.003186305363972982	0.6757082247926914	0.001	exponential	50	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	35	0.7773267351555121	0.561191398046117	0.6873822217744838	6.03358662668176e-05	1.097128513007822e-05	0.08870609992540322
0.17013152440388998	0.006018638610839844	0.6669431375151801	0.001	exponential	100	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	45	0.7762727113717844	0.5540997416132972	0.6691397357790536	9.637033769682436e-05	4.4907580811526094e-05	0.0908039694063638
0.3394931157430013	0.011681477228800455	0.6628295527761533	0.001	exponential	200	3111696	{'estimator__learning_rate': 0.001, 'estimator__loss': 'exponential', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	48	0.7638412254636227	0.5545098680964042	0.6689205566637644	0.00020534953448856922	7.6912649481505e-05	0.08565076042293815
0.017215967178344727	0.0009636878967285156	0.6548286088109059	0.01	linear	10	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	54	0.750149779269704	0.5347852080071898	0.6784023913189708	0.00010571509550354137	4.77234357071e-06	0.08956392740198195
0.08445858955383301	0.0032127698262532554	0.6686542849617952	0.01	linear	50	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 50, 'estimator__random_state': 3111696}	43	0.7644930255246418	0.5509582684247538	0.6893568773147508	4.4362516247378206e-05	2.7886028793765376e-05	0.08847291590552614
0.16896502176920572	0.006000518798828125	0.6737669350767855	0.01	linear	100	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 100, 'estimator__random_state': 3111696}	36	0.7762720159261893	0.57704243864359	0.6667513496864883	0.0003147702172248647	2.2910524432249498e-05	0.08156506031950134
0.33754825592041016	0.011670748392740885	0.6824670654520223	0.01	linear	200	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'linear', 'estimator__n_estimators': 200, 'estimator__random_state': 3111696}	32	0.7807675142177031	0.5722983730569529	0.693150966325198	3.033511430885557e-05	7.254622875194963e-05	0.08552302502674188
0.017218669255574543	0.0009792645772298176	0.6334916856721247	0.01	square	10	3111696	{'estimator__learning_rate': 0.01, 'estimator__loss': 'square', 'estimator__n_estimators': 10, 'estimator__random_state': 3111696}	60	0.7233455075628696	0.5256160658998179	0.6504309073863279	4.873092753272786e-05	2.685665329093266e-06	0.08167963681377134
